Pair,ID1,ID2,IDPair,DyadML
1,JUP,PTS,JUP.PTS,0
2,JUP,VRG,JUP.VRG,0.0195
3,JUP,PBA,JUP.PBA,0.006
4,JUP,SLO,JUP.SLO,0.0396
5,JUP,SUP,JUP.SUP,0
6,JUP,GLM,JUP.GLM,0
7,JUP,NAP,JUP.NAP,0
8,JUP,EVN,JUP.EVN,0
9,JUP,ORB,JUP.ORB,0
10,JUP,MNK,JUP.MNK,0
11,JUP,SCT,JUP.SCT,0.1323
12,JUP,RID,JUP.RID,0.0032
13,JUP,POO,JUP.POO,0.0388
14,JUP,BYP,JUP.BYP,0.0108
15,JUP,JMY,JUP.JMY,0.019
16,JUP,PIK,JUP.PIK,0
17,JUP,UVE,JUP.UVE,0
18,JUP,TCH,JUP.TCH,0.0444
19,JUP,CYR,JUP.CYR,0
20,JUP,BNI,JUP.BNI,0.0016
21,JUP,CLI,JUP.CLI,0
22,JUP,SKT,JUP.SKT,0.0369
23,JUP,POL,JUP.POL,0.0018
24,JUP,WOW,JUP.WOW,0
25,JUP,RKT,JUP.RKT,0
26,JUP,CRV,JUP.CRV,0.0205
27,JUP,SCA,JUP.SCA,0.0033
28,JUP,PIM,JUP.PIM,0.0256
29,JUP,GUA,JUP.GUA,0.0647
30,JUP,WOP,JUP.WOP,0.0012
31,JUP,RDC,JUP.RDC,0.0344
32,JUP,MYS,JUP.MYS,0.0318
33,JUP,ZIP,JUP.ZIP,0
34,JUP,MOG,JUP.MOG,0.0035
35,JUP,GEK,JUP.GEK,0.0137
36,JUP,WHO,JUP.WHO,0
37,JUP,GBY,JUP.GBY,0
38,JUP,ELW,JUP.ELW,0.1702
39,JUP,SQE,JUP.SQE,0
40,JUP,NIN,JUP.NIN,0.0171
41,JUP,PSS,JUP.PSS,0
42,JUP,CKL,JUP.CKL,0
43,JUP,NIC,JUP.NIC,0
44,JUP,CAD,JUP.CAD,0.0432
45,JUP,GHO,JUP.GHO,0.0029
46,JUP,MNG,JUP.MNG,0.0311
47,JUP,TOR,JUP.TOR,0
48,JUP,ASN,JUP.ASN,0
49,JUP,IMP,JUP.IMP,0.0286
50,JUP,LIP,JUP.LIP,0
51,JUP,JUI,JUP.JUI,0
52,JUP,OLI,JUP.OLI,0.0095
53,JUP,PIC,JUP.PIC,0
54,JUP,NIR,JUP.NIR,0
55,JUP,TUK,JUP.TUK,0
56,JUP,EPC,JUP.EPC,0
57,JUP,WOF,JUP.WOF,0.0085
58,JUP,KIT,JUP.KIT,0.0392
59,JUP,BCT,JUP.BCT,0
60,JUP,HBB,JUP.HBB,0.0247
61,JUP,AGA,JUP.AGA,0.0001
62,JUP,ART,JUP.ART,0
63,JUP,CLV,JUP.CLV,0
64,JUP,EED,JUP.EED,0
65,JUP,HRS,JUP.HRS,0.0107
66,JUP,LUG,JUP.LUG,0.0332
67,JUP,PKY,JUP.PKY,0.0476
68,JUP,ZUL,JUP.ZUL,0
69,JUP,FRE,JUP.FRE,0
70,JUP,MRS,JUP.MRS,0.0621
71,JUP,WAB,JUP.WAB,0
72,JUP,GRB,JUP.GRB,0.0718
73,JUP,RGO,JUP.RGO,0
74,JUP,IBL,JUP.IBL,0.0005
75,JUP,RHO,JUP.RHO,0
76,JUP,CYA,JUP.CYA,0
77,JUP,CUR,JUP.CUR,0
78,JUP,FUT,JUP.FUT,0
79,JUP,PEG,JUP.PEG,0
80,JUP,RIP,JUP.RIP,0.0173
81,JUP,BRE,JUP.BRE,0.0208
82,JUP,WHN,JUP.WHN,0
83,JUP,GAB,JUP.GAB,0
84,JUP,CEY,JUP.CEY,0
85,JUP,UMM,JUP.UMM,0
86,JUP,WAC,JUP.WAC,0.0341
87,JUP,AMP,JUP.AMP,0
88,JUP,DOD,JUP.DOD,0
89,JUP,RKL,JUP.RKL,0.0353
90,JUP,SON,JUP.SON,0
91,JUP,UNK1443,JUP.UNK1443,0.0139
92,JUP,UNK1388,JUP.UNK1388,0
93,JUP,PAS,JUP.PAS,0
94,JUP,DBO,JUP.DBO,0
95,JUP,EVI,JUP.EVI,0.0002
96,JUP,STT,JUP.STT,0
97,JUP,PLR,JUP.PLR,0
98,JUP,CTN,JUP.CTN,0
99,JUP,UNK1447,JUP.UNK1447,0
100,JUP,BLW,JUP.BLW,0
101,JUP,UNK1449,JUP.UNK1449,0.035
102,JUP,WHP,JUP.WHP,0
103,JUP,WDS,JUP.WDS,0.0468
104,JUP,MSC,JUP.MSC,0
105,JUP,TIH,JUP.TIH,0
106,JUP,DIC,JUP.DIC,0.0009
107,JUP,SMF,JUP.SMF,0
108,JUP,VEE,JUP.VEE,0
109,JUP,WLY,JUP.WLY,0
110,JUP,FID,JUP.FID,0
111,JUP,TAL,JUP.TAL,0.0202
112,JUP,ANW,JUP.ANW,0
113,JUP,MZT,JUP.MZT,0.1027
114,JUP,BBF,JUP.BBF,0
115,JUP,NES,JUP.NES,0.0203
116,JUP,JUM,JUP.JUM,0
117,JUP,CF2013_1AF,JUP.CF2013_1AF,0
118,JUP,LDO,JUP.LDO,0.0113
119,JUP,FAO,JUP.FAO,0
120,JUP,HAB,JUP.HAB,0.0142
121,JUP,PGA1,JUP.PGA1,0
122,JUP,SHO1,JUP.SHO1,0
123,JUP,SGG1,JUP.SGG1,0.0182
124,JUP,PCK,JUP.PCK,0.026
125,JUP,BOM,JUP.BOM,0
126,JUP,IND,JUP.IND,0
127,JUP,LEV,JUP.LEV,0
128,JUP,CLA,JUP.CLA,0
