"Age.ID","Combined.ID","Dolphin.ID","Sightings","entrydate","departdate","genotyped","Repro.ID","AgeCat","AgeSightings","tot.strength","age.strength","norm.age","avg.tot.age.str","norm.age.indiv","ReproCat"
"ALT.adult","ALT.lact.adult","ALT",41,1992-11-01,2024-11-30,"Y","ALT.lact","adult",33,1.82678535263675,1.59663480085933,0.874013358249656,1.59663480085933,1,"lact"
"AMO.juvenile","AMO.juvenile.juvenile","AMO",52,2000-11-01,2016-05-01,"Y","AMO.juvenile","juvenile",29,2.04102028205185,1.53213497881492,0.750671118894836,1.37642811043458,1.11312386546012,"juvenile"
"AMP.elder","AMP.lact.elder","AMP",67,1986-11-01,2024-11-30,"Y","AMP.lact","elder",51,0.560069684935747,1.75779630342327,3.13853141975525,1.05107976134635,1.67237194365883,"lact"
"ANE.juvenile","ANE.juvenile.juvenile","ANE",55,2013-11-01,2024-11-30,"Y","ANE.juvenile","juvenile",29,3.3967719616235,2.47586806789659,0.728888514115394,2.4239165979741,1.02143286199117,"juvenile"
"ASN.juvenile","ASN.juvenile.juvenile","ASN",93,2008-01-01,2021-05-01,"Y","ASN.juvenile","juvenile",46,1.19632936225615,0.794288018942238,0.663937577728841,0.637245282940962,1.24644001329677,"juvenile"
"BAD.adult","BAD.cyc.adult","BAD",171,1986-11-01,2024-11-30,"Y","BAD.cyc","adult",127,1.07678299660288,1.85554565830146,1.72323083124036,1.55912208642585,1.19012210426391,"cyc"
"BLB.adult","BLB.lact.adult","BLB",83,1976-11-01,2016-05-01,"Y","BLB.lact","adult",25,0.0284434054159361,0.0896435229512186,3.15164522814113,0.416533098566288,0.21521344464527,"lact"
"BLI.adult","BLI.lact.adult","BLI",431,1974-11-01,2020-05-01,"Y","BLI.lact","adult",247,0.649671513343266,0.729295041594277,1.12255967302808,0.98780831627196,0.738296114317679,"lact"
"BLK.adult","BLK.cyc.adult","BLK",95,2000-11-01,2024-11-30,"Y","BLK.cyc","adult",58,1.09953683207439,1.7039806456286,1.54972584448478,1.08644372989078,1.56840211669305,"cyc"
"BLK.juvenile","BLK.juvenile.juvenile","BLK",95,2000-11-01,2024-11-30,"Y","BLK.juvenile","juvenile",33,0.572950583011611,0.468906814152965,0.81840708091829,1.08644372989078,0.431597883306946,"juvenile"
"BLM.juvenile","BLM.juvenile.juvenile","BLM",115,2015-11-20,2024-11-30,"Y","BLM.juvenile","juvenile",51,2.96085876585148,2.11466340530027,0.714206104556338,2.36486926902864,0.894198860374577,"juvenile"
"BNG.juvenile","BNG.juvenile.juvenile","BNG",70,2004-11-01,2019-05-01,"Y","BNG.juvenile","juvenile",19,0.990354698473094,0.574320551569996,0.57991399693006,0.622980002042409,0.921892435852057,"juvenile"
"BOM.elder","BOM.lact.elder","BOM",102,1985-11-01,2021-05-01,"Y","BOM.lact","elder",27,0.0833333333333333,0.352208568791798,4.22650282550158,0.472453275787025,0.745488679711406,"lact"
"BOR.juvenile","BOR.juvenile.juvenile","BOR",30,2016-10-14,2024-11-30,"Y","BOR.juvenile","juvenile",14,0.852579780265202,0.659722637408059,0.773795781554715,0.806683976424544,0.817820431158358,"juvenile"
"BRE.adult","BRE.preg.adult","BRE",66,1981-11-01,2024-11-30,"Y","BRE.preg","adult",47,0.236518626534944,0.192311641029402,0.813093006021619,0.647796356507938,0.29687051972026,"preg"
"BRE.elder","BRE.lact.elder","BRE",66,1981-11-01,2024-11-30,"Y","BRE.lact","elder",18,1.07223685544052,1.10328107198647,1.02895276019327,0.647796356507938,1.70312948027974,"lact"
"BSS.juvenile","BSS.juvenile.juvenile","BSS",299,2002-12-12,2019-07-26,"Y","BSS.juvenile","juvenile",114,1.61571181697033,1.27251217147592,0.787586101748048,1.98133276779675,0.642250606338558,"juvenile"
"BUT.adult","BUT.lact.adult","BUT",23,2006-11-01,2024-11-30,"Y","BUT.lact","adult",11,2.16269120379895,0.641656281627473,0.296693434781789,0.641656281627473,1,"lact"
"BYT.adult","BYT.lact.adult","BYT",344,1976-11-01,2024-11-30,"Y","BYT.lact","adult",143,0.148133007211413,0.17745377500747,1.19793541188434,0.424278736806824,0.418248098745202,"lact"
"BYT.elder","BYT.cyc.elder","BYT",344,1976-11-01,2024-11-30,"Y","BYT.cyc","elder",201,0.0949458306561005,0.671103698606178,7.06827981775162,0.424278736806824,1.5817519012548,"cyc"
"BZD.juvenile","BZD.juvenile.juvenile","BZD",16,2017-11-01,2024-11-30,"Y","BZD.juvenile","juvenile",15,0.721002886002886,0.645582010582011,0.895394488863983,0.645582010582011,1,"juvenile"
"CCU.juvenile","CCU.juvenile.juvenile","CCU",16,2015-11-15,2019-05-01,"Y","CCU.juvenile","juvenile",16,1.14328899358681,0.899688775721889,0.786930321877166,0.899688775721889,1,"juvenile"
"CDB.adult","CDB.lact.adult","CDB",40,2012-01-15,2024-11-30,"Y","CDB.lact","adult",10,0.439750340695719,0.0973559274135998,0.221389089226344,0.358335997572204,0.271688940193576,"lact"
"CDB.juvenile","CDB.juvenile.juvenile","CDB",40,2012-01-15,2024-11-30,"Y","CDB.juvenile","juvenile",21,0.884973827073093,0.619316067730808,0.69981286314319,0.358335997572204,1.72831105980642,"juvenile"
"CHL.adult","CHL.lact.adult","CHL",35,2004-05-01,2017-05-01,"Y","CHL.lact","adult",10,0.841125818625819,0.406308882678037,0.483053633214874,0.498888759566466,0.814427815593839,"lact"
"CHL.juvenile","CHL.juvenile.juvenile","CHL",35,2004-05-01,2017-05-01,"Y","CHL.juvenile","juvenile",18,0.797870179813012,0.591468636454896,0.741309365131946,0.498888759566466,1.18557218440616,"juvenile"
"CHT.juvenile","CHT.juvenile.juvenile","CHT",33,1997-11-01,2024-11-30,"Y","CHT.juvenile","juvenile",10,0.0676393356805728,0.0668538668538669,0.988387395902063,0.277897846636808,0.240569934826591,"juvenile"
"CLA.juvenile","CLA.juvenile.juvenile","CLA",49,1997-11-01,2024-11-30,"Y","CLA.juvenile","juvenile",10,0.188178488178488,0.174107193619389,0.925223681541364,0.225347579852806,0.772616212400032,"juvenile"
"CLO.juvenile","CLO.juvenile.juvenile","CLO",118,1996-11-01,2024-11-30,"Y","CLO.juvenile","juvenile",22,1.22364375582367,0.933489812662695,0.762877110449794,2.08242067846735,0.448271486311661,"juvenile"
"CLV.juvenile","CLV.juvenile.juvenile","CLV",50,2000-11-01,2024-11-30,"Y","CLV.juvenile","juvenile",24,1.61221079302437,1.15920995642604,0.719018853763819,1.19461581467752,0.970362138340654,"juvenile"
"COI.juvenile","COI.juvenile.juvenile","COI",73,2003-11-01,2024-11-30,"Y","COI.juvenile","juvenile",11,0.85743356116714,0.590734149838047,0.68895617875505,0.842590256323528,0.701093022859765,"juvenile"
