"Combined.ID","Dolphin.ID","Sightings","entrydate","departdate","genotyped","Repro.ID","Age.ID","ReproCat","kin.strength","tot.strength","norm.kin"
"ALT.cyc.adult","ALT",41,1992-11-01,2024-11-30,"Y","ALT.cyc","ALT.adult","cyc",0.388766788766789,1.36187394873959,0.285464590262991
"ALT.lact.adult","ALT",41,1992-11-01,2024-11-30,"Y","ALT.lact","ALT.adult","lact",1.11692324192324,1.82678535263675,0.611414603424039
"ALT.preg.adult","ALT",41,1992-11-01,2024-11-30,"Y","ALT.preg","ALT.adult","preg",0.87563025210084,2.59739067691854,0.337119194229056
"ALT.unknown.adult","ALT",41,1992-11-01,2024-11-30,"Y","ALT.unknown","ALT.adult","unknown",0.117647058823529,0.581252897429368,0.202402533120836
"AMO.juvenile.juvenile","AMO",52,2000-11-01,2016-05-01,"Y","AMO.juvenile","AMO.juvenile","juvenile",0.700589206302919,2.04102028205185,0.343254406859011
"AMO.lact.adult","AMO",52,2000-11-01,2016-05-01,"Y","AMO.lact","AMO.adult","lact",0.167832167832168,0.421383990896186,0.39828795459274
"AMO.unknown.adult","AMO",52,2000-11-01,2016-05-01,"Y","AMO.unknown","AMO.adult","unknown",1.06658963585434,2.78221830652574,0.383359434215726
"AMP.lact.elder","AMP",67,1986-11-01,2024-11-30,"Y","AMP.lact","AMP.elder","lact",0.05,0.560069684935747,0.0892746051872744
"AMP.preg.elder","AMP",67,1986-11-01,2024-11-30,"Y","AMP.preg","AMP.elder","preg",0.875,1.90772485138496,0.458661530442806
"AMP.unknown.adult","AMP",67,1986-11-01,2024-11-30,"Y","AMP.unknown","AMP.adult","unknown",0.115131578947368,1.0182242254773,0.113070948487205
"AMP.unknown.elder","AMP",67,1986-11-01,2024-11-30,"Y","AMP.unknown","AMP.elder","unknown",0.438627436421554,2.3901273442342,0.183516345888294
"ANE.cyc.adult","ANE",55,2013-11-01,2024-11-30,"Y","ANE.cyc","ANE.adult","cyc",0.991902834008097,1.99878912769263,0.496251865824953
"ANE.juvenile.juvenile","ANE",55,2013-11-01,2024-11-30,"Y","ANE.juvenile","ANE.juvenile","juvenile",0.720665735276741,3.3967719616235,0.212161941813808
"ANE.preg.adult","ANE",55,2013-11-01,2024-11-30,"Y","ANE.preg","ANE.adult","preg",0.32,1.77915275154406,0.179860891495845
"ANE.unknown.adult","ANE",55,2013-11-01,2024-11-30,"Y","ANE.unknown","ANE.adult","unknown",0.163879598662207,1.97301537483866,0.0830604772533049
"ASN.cyc.adult","ASN",93,2008-01-01,2021-05-01,"Y","ASN.cyc","ASN.adult","cyc",0.140060510285398,0.443731439410047,0.315642521232239
