"Repro.ID","Dolphin.ID","Combined.ID","Sightings","entrydate","departdate","genotyped","Age.ID","repro.strength","ReproCat","norm_repro","avg.tot.repro.str","norm.repro.indiv"
"ALT.cyc","ALT","ALT.cyc.adult",41,1992-11-01,2024-11-30,"Y","ALT.adult",0,"cyc","0",0.498403980350575,0
"ALT.lact","ALT","ALT.lact.adult",41,1992-11-01,2024-11-30,"Y","ALT.adult",0,"lact","0",0.498403980350575,0
"ALT.preg","ALT","ALT.preg.adult",41,1992-11-01,2024-11-30,"Y","ALT.adult",1.9936159214023,"preg","4.36344353488366",0.498403980350575,4
"ALT.unknown","ALT","ALT.unknown.adult",41,1992-11-01,2024-11-30,"Y","ALT.adult",0,"unknown","",0.498403980350575,0
"AMO.juvenile","AMO","AMO.juvenile.juvenile",52,2000-11-01,2016-05-01,"Y","AMO.juvenile",1.35408552068758,"juvenile","1.96509129305662",1.11922058500789,1.20984686917461
"AMO.lact","AMO","AMO.lact.adult",52,2000-11-01,2016-05-01,"Y","AMO.adult",0.308746628258823,"lact","0.774921938663183",1.11922058500789,0.275858604098715
"AMO.unknown","AMO","AMO.unknown.adult",52,2000-11-01,2016-05-01,"Y","AMO.adult",1.69482960607727,"unknown","",1.11922058500789,1.51429452672667
"AMP.lact","AMP","AMP.lact.elder",67,1986-11-01,2024-11-30,"Y","AMP.elder",0,"lact","0",0,NA
"AMP.preg","AMP","AMP.preg.elder",67,1986-11-01,2024-11-30,"Y","AMP.elder",0,"preg","0",0,NA
"AMP.unknown","AMP","AMP.unknown.adult",67,1986-11-01,2024-11-30,"Y","AMP.adult",0,"unknown","",0,NA
"AMP.unknown","AMP","AMP.unknown.elder",67,1986-11-01,2024-11-30,"Y","AMP.elder",0,"unknown","",0,NA
"ANE.cyc","ANE","ANE.cyc.adult",55,2013-11-01,2024-11-30,"Y","ANE.adult",1.21457860137684,"cyc","4.09368887406594",1.43056008526726,0.849023130090991
"ANE.juvenile","ANE","ANE.juvenile.juvenile",55,2013-11-01,2024-11-30,"Y","ANE.juvenile",2.23961354742941,"juvenile","3.25019728416447",1.43056008526726,1.56555014395708
"ANE.preg","ANE","ANE.preg.adult",55,2013-11-01,2024-11-30,"Y","ANE.adult",0.847147369538674,"preg","1.85415840284178",1.43056008526726,0.592178810427533
"ANE.unknown","ANE","ANE.unknown.adult",55,2013-11-01,2024-11-30,"Y","ANE.adult",1.4209008227241,"unknown","",1.43056008526726,0.993247915524395
"ASN.cyc","ASN","ASN.cyc.adult",93,2008-01-01,2021-05-01,"Y","ASN.adult",0.400253178540482,"cyc","1.34903742083327",0.46683073051469,0.857383956063036
"ASN.juvenile","ASN","ASN.juvenile.juvenile",93,2008-01-01,2021-05-01,"Y","ASN.juvenile",0.910921801357268,"juvenile","1.32195823170288",0.46683073051469,1.95128928284768
"ASN.preg","ASN","ASN.preg.adult",93,2008-01-01,2021-05-01,"Y","ASN.adult",0.289899408117493,"preg","0.634505214638891",0.46683073051469,0.620994697152592
"ASN.unknown","ASN","ASN.unknown.adult",93,2008-01-01,2021-05-01,"Y","ASN.adult",0.266248534043517,"unknown","",0.46683073051469,0.570332063936692
"ATC.unknown","ATC","ATC.unknown.adult",14,1995-11-01,2024-11-30,"Y","ATC.adult",1.15715970997538,"unknown","",1.15715970997538,1
"ATH.cyc","ATH","ATH.cyc.adult",112,1989-11-01,2024-11-30,"Y","ATH.adult",0.726533597121832,"cyc","2.44875259600425",0.448426118916408,1.620185726196
"ATH.juvenile","ATH","ATH.juvenile.juvenile",112,1989-11-01,2024-11-30,"Y","ATH.juvenile",0.121266025641026,"juvenile","0.175985052265944",0.448426118916408,0.270425875134252
"ATH.lact","ATH","ATH.lact.adult",112,1989-11-01,2024-11-30,"Y","ATH.adult",0.57490145921388,"lact","1.44294289407055",0.448426118916408,1.28204276013871
"ATH.preg","ATH","ATH.preg.adult",112,1989-11-01,2024-11-30,"Y","ATH.adult",1.26785563152171,"preg","2.77496602988499",0.448426118916408,2.82734563853105
"ATH.unknown","ATH","ATH.unknown.adult",112,1989-11-01,2024-11-30,"Y","ATH.adult",0,"unknown","",0.448426118916408,0
"ATH.unknown","ATH","ATH.unknown.elder",112,1989-11-01,2024-11-30,"Y","ATH.elder",0,"unknown","",0.448426118916408,0
"ATW.unknown","ATW","ATW.unknown.adult",26,1988-11-01,2024-11-30,"Y","ATW.adult",0,"unknown","",0,NA
"ATW.unknown","ATW","ATW.unknown.elder",26,1988-11-01,2024-11-30,"Y","ATW.elder",0,"unknown","",0,NA
"BAD.cyc","BAD","BAD.cyc.adult",171,1986-11-01,2024-11-30,"Y","BAD.adult",0,"cyc","0",0.49543537553149,0
"BAD.lact","BAD","BAD.lact.adult",171,1986-11-01,2024-11-30,"Y","BAD.adult",1.50701738159691,"lact","3.7824569535613",0.49543537553149,3.04180415050141
"BAD.preg","BAD","BAD.preg.adult",171,1986-11-01,2024-11-30,"Y","BAD.adult",0.970159496060541,"preg","2.12339605409738",0.49543537553149,1.95819584949859
"BAD.unknown","BAD","BAD.unknown.adult",171,1986-11-01,2024-11-30,"Y","BAD.adult",0,"unknown","",0.49543537553149,0
"BAD.unknown","BAD","BAD.unknown.elder",171,1986-11-01,2024-11-30,"Y","BAD.elder",0,"unknown","",0.49543537553149,0
"BLB.lact","BLB","BLB.lact.adult",83,1976-11-01,2016-05-01,"Y","BLB.adult",0,"lact","0",0,NA
"BLB.unknown","BLB","BLB.unknown.adult",83,1976-11-01,2016-05-01,"Y","BLB.adult",0,"unknown","",0,NA
"BLB.unknown","BLB","BLB.unknown.elder",83,1976-11-01,2016-05-01,"Y","BLB.elder",0,"unknown","",0,NA
"BLI.cyc","BLI","BLI.cyc.adult",431,1974-11-01,2020-05-01,"Y","BLI.adult",0,"cyc","0",0,NA
"BLI.cyc","BLI","BLI.cyc.elder",431,1974-11-01,2020-05-01,"Y","BLI.elder",0,"cyc","0",0,NA
"BLI.lact","BLI","BLI.lact.adult",431,1974-11-01,2020-05-01,"Y","BLI.adult",0,"lact","0",0,NA
"BLI.preg","BLI","BLI.preg.elder",431,1974-11-01,2020-05-01,"Y","BLI.elder",0,"preg","0",0,NA
"BLI.preg","BLI","BLI.preg.adult",431,1974-11-01,2020-05-01,"Y","BLI.adult",0,"preg","0",0,NA
"BLI.unknown","BLI","BLI.unknown.adult",431,1974-11-01,2020-05-01,"Y","BLI.adult",0,"unknown","",0,NA
"BLI.unknown","BLI","BLI.unknown.elder",431,1974-11-01,2020-05-01,"Y","BLI.elder",0,"unknown","",0,NA
"BLK.cyc","BLK","BLK.cyc.adult",95,2000-11-01,2024-11-30,"Y","BLK.adult",0,"cyc","0",0.671426840162822,0
"BLK.juvenile","BLK","BLK.juvenile.juvenile",95,2000-11-01,2024-11-30,"Y","BLK.juvenile",0.230781960592224,"juvenile","0.334918005122775",0.671426840162822,0.343718699920098
"BLK.lact","BLK","BLK.lact.adult",95,2000-11-01,2024-11-30,"Y","BLK.adult",0.592430259005454,"lact","1.48693835919848",0.671426840162822,0.882345214054578
"BLK.preg","BLK","BLK.preg.adult",95,2000-11-01,2024-11-30,"Y","BLK.adult",0.973147710016435,"preg","2.12993638251607",0.671426840162822,1.44937266699145
"BLK.unknown","BLK","BLK.unknown.adult",95,2000-11-01,2024-11-30,"Y","BLK.adult",1.5607742712,"unknown","",0.671426840162822,2.32456341903387
"BLM.juvenile","BLM","BLM.juvenile.juvenile",115,2015-11-20,2024-11-30,"Y","BLM.juvenile",2.66691541982876,"juvenile","3.87031113674622",2.89277381718339,0.921923243354522
"BLM.unknown","BLM","BLM.unknown.adult",115,2015-11-20,2024-11-30,"Y","BLM.adult",3.11863221453803,"unknown","",2.89277381718339,1.07807675664548
