Dolphin.ID,cyc.strength,repro.juvenile.strength,lact.strength,preg.strength,repro.unknown.strength,adult.strength,elder.strength,juvenile.strength
ALT,0,0,0,1.993615921,0,0,0,0
AMO,0.281385281,1.354085521,0.308746628,0.974080087,1.694829606,0,0,0.50493657
AMP,0,0,0,0,0,0,0,0
ANE,1.214578601,2.239613547,1.638175231,0.84714737,1.420900823,0,0,0.652793655
ASN,0.400253179,0.910921801,0,0.289899408,0.266248534,0,0,0.341515135
ATC,0,0,0.361111111,0.75,1.15715971,0,0,0
ATH,0.726533597,0.121266026,0.574901459,1.267855632,0,0,0.514124054,0.095625
ATW,0,0,0.581739094,1.363468013,0,0,0,0
BAD,0,0,1.507017382,0.970159496,0,0,0,0
BLB,0,0,0,0.083333333,0,0,0,0
BLI,0,0,0,0,0,0,0,0
BLK,0,0.230781961,0.592430259,0.97314771,1.560774271,0,0,0
BLM,0,2.66691542,0,0,3.118632215,0.834751902,0,0.702386288
BMN,0,0,0,0.043478261,0,0,0,0
BNG,0.187509187,0.50550214,0.256676779,0.629144293,0.534026601,0,0,0.2247194
BOJ,0,0.333333333,0,0,0,0,0,0
BOM,0.272146955,0,0,0,0,0,0,0
BOR,0,0.53223346,0,0,1.1354322,0.594455753,0,0.218344571
BRE,0.003389831,0,0,0,0,0,0,0
BRP,0,2.58050095,0,0,0.7,0.1,0,1.134857867
BSC,0,0.262443989,0,0,0,0,0,0.15981241
BSS,1.136598323,1.164735865,1.300203298,2.312238807,1.469090186,0,0,0.632363346
BUT,0.226190476,0.349901624,1.7464102,0,0.194788442,0,0,0
BWS,0,0,1.469999146,0,0,0,0.452597403,0
BYT,0,0,0,0,0,0,0,0
BZD,0,0.721002886,0,0,0,0,0,0.360396825
CAD,0,0.229206981,0.142857143,0,0.616803919,0,0,0.160311337
CCU,0,0.795494876,0,0,0,0,0,0.648565051
CDB,0,0.742275666,0.273083674,0.297619048,0.889394567,0,0,0.247509575
CER,0,0,0,0,0.514797747,0.032258065,0,0
CHC,0.333333333,0,0.95,0,0.090909091,0,0,0
CHL,0,0.382638227,0.566721057,0.242857143,0.299242424,0,0,0.171681141
CHT,0,0.027027027,0,0,0.731353702,0.231610104,0,0.027027027
CLA,0,0.140559441,0.399274745,0.05,0.31536246,0,0,0.102097902
CLO,0.439076246,0.931890929,2.597978261,0.906626653,0,0,1.000949492,0.60245727
CLV,1.865970885,1.208328031,1.50902533,0.649918942,1.370092419,0,0,0.64781634
COI,0.22502565,0.451804639,0.459051435,0.429689477,0.83324383,0,0,0.350836216
COK,0.476562327,0.235286726,0,0.231262202,0.0625,0,0,0.097826087
COP,1.67738216,1.371493899,0.653607099,1.135225864,0.580853372,0,0,0.445076634
CRP,0,0.156433889,0.09610984,0.917257722,1.195501699,0,0,0.108823529
CRS,0,0,0.276923077,0,0,0,0.5,0
CRV,0,0.617815331,0,0,1.79469911,0.687841757,0,0.474393535
CSK,0.154761905,0.534766778,0.712883763,0.55,0.726869213,0,0,0.437975207
CUR,1.276725589,0.02151113,0,0.111111111,0,0,0,0.02151113
CVO,0,1.095076939,0.398789616,0.410207337,0,0,0,0.50728336
CYR,0.241664912,0,0,0.329549568,0,0,0.444355947,0
CYS,0,0.961167229,1.630504681,0,2.130480481,0,0,0.539692982
DCH,0.310383075,2.093142482,0.125,0.565561275,0.65796594,0,0,0.495718049
DCK,0,0.8182575,0,0,0,0,0,0.197981257
DEM,0,0.054844213,0,0,0,0,0,0.054844213
DJY,0,2.827875673,0,0,2.074046157,0.64632459,0,0.978417416
DMK,0,0,0,0,0.636103546,0,0,0
DNZ,0,0,0,0,0.265060828,0,0,0
DOD,0.239392922,0.14138649,0.713369224,0.571187104,0.364758966,0,0,0.075071518
DOP,0,0.978411027,0,0,0.71122157,0.3665246,0,0.242521222
DOU,0,1.620875752,0,0,0,0,0,0.407240288
DOY,0,2.795875206,0,0,0,0,0,1.20513329
DUC,0.238585434,0.828281171,1.04644247,0.460964912,0.924905252,0,0,0.507530342
EDE,1.608849399,1.488104801,1.139701623,2.5960083,1.528007954,0,0,0.565916617
EED,0.252746921,0,0,0,0,0,0,0
ENC,0,0.710229843,0,0,0.749927127,0.468040592,0,0.072222222
EPC,0,0,0,0,0,0,0.5,0
ESM,0,0,0,0,0.111111111,0,0,0
ESP,0,0,0.479847054,0,1.808284082,0,0,0
FAO,0,0.324675325,0,0,1.246643984,0.503454342,0,0
FID,0.029411765,0,0,0.005882353,0,0,0,0
FKY,0,0,0,0,0,0,0,0
FLF,0,0.915608577,0.166666667,0.583333333,0,0,0,0.397120121
FNT,2.699858566,0.170507344,0,0,0,0,0,0.156422837
FRK,0,0.09428814,0,0,0.157284551,0.018518519,0,0
FRL,0.327873812,1.000205947,0.726922875,0.389031499,0.99365382,0,0,0.575307367
FSB,0,0.922520279,0,0,1.418328205,0.488373745,0,0.380884649
FUF,0,0.265652678,0,0,0,0.466141479,0.466269649,0.236889679
FUT,0,1.786268138,1.713966057,0,1.609107817,0,0,0.52470908
GAB,0,0.357732404,0,0,0,0,0,0.244047619
GEK,0,1.052428716,0,0,0,0,0,0.440626514
GMP,0.536882262,0.660883764,0.660918645,0.89092391,0.840655882,0,0,0.52303006
GOD,0.083333333,0,0,0.265744736,0,0,0,0
GRF,0,0,0,0,0,0.391164844,0.058823529,0
GRG,0,0.05991611,0,0,0.32695032,0.071116497,0,0.05991611
GRV,0,0,0,0.188596491,0,0,0,0
GUA,0,0.45605452,0,0,0.610695711,0.142647069,0,0.184889858
GUM,0,0,0,0,0,0,0,0
HAB,0,0.556474898,0,0,0.355362226,0.2551116,0,0.460410831
HAT,0,0.544592653,0,0,1.120659483,0.273398371,0,0.435264073
HBB,0,0,0,0.715203675,0,0,0,0
HFF,1.057854038,2.253296806,1.921429849,1.453286121,1.664728965,0,0,0.638307718
HNK,0.245459472,0.070114943,0,0.142857143,0,0,0,0
HOW,0,0.6167107,0,0,1.442585805,0.539412356,0,0.113221219
HRS,0.253811791,0.56914385,0.763052199,0.545397147,0.734486013,0,0,0.495341841
HUB,0,0.507348121,0,0,0.215196605,0.120898359,0,0.252065946
IBL,0.561045752,0.138888889,1.975,0,0.670701646,0,0,0.138888889
IBX,0,0,0,0,0,0,0,0
IND,0.66434301,0.085600634,0.293722019,0.041666667,0.385293002,0,0,0.069727619
ITG,0,1.09738606,0,0,0.838827839,0.285714286,0,0.121543779
JAC,0,0.323907152,0,0,1.19591336,0.509541126,0,0.498366013
JAH,0,1.096866951,0.398830911,0.356089744,0.76193609,0,0,0.48415638
JAS,0,0.037735849,0,0,0,0,0,0
JMY,0.515263854,0.704849968,0.178409091,1.326709402,1.048372599,0,0,0.374892138
JND,0,1.449331598,0,0,0,0,0,0.652401704
JNI,0.277407407,0,0,1.238524545,0,0,0,0
JUI,0.948839997,0.731352979,0,1.459121775,1.104373332,0,0,0.34689274
JUM,0.328752983,0,0.145686993,0,0,0,0.664233552,0
KIT,0,0.046517413,0,0,0,0,0,0.046517413
KIY,0,0.395665108,1.071737589,2.476278475,1.013676992,0,0,0
KNG,0.833333333,0.203829787,0.617948718,0.358516484,0.382055853,0,0,0.163829787
KOA,0,0.423283891,0.166666667,0,0.987012268,0,0,0.317908407
LAS,0,0,0,0,0,0,0,0
LDO,0,0.528690679,0,0,0.627449348,0.300526271,0,0.200490196
LEN,1.20405469,2.053246486,0,2.139404564,1.964767656,0,0,1.093064899
LEV,0,0,0,0,0,0,0.142857143,0
LIC,0,0.118280739,0,0,0,0,0,0.105675697
LIF,0.24906015,0,0.353682515,0,0,0,0,0
