"ID1","ID2","weight","Dolphin.ID1","Dolphin.ID2","IDPair","DyadML","Closekin","State1","State2","shared_state"
"AMP.preg","ALT.lact",0.25,"AMP","ALT","ALT.AMP",0.2682,"Y","preg","lact","N"
"ALT.lact","ANE.juvenile",0.0588235294117647,"ALT","ANE","ALT.ANE",0.0145,"N","lact","juvenile","N"
"BRP.juvenile","ALT.preg",0.1,"BRP","ALT","ALT.BRP",0.0204,"N","juvenile","preg","N"
"BSS.preg","ALT.lact",0.0105263157894737,"BSS","ALT","ALT.BSS",0,"N","preg","lact","N"
"BUT.lact","ALT.preg",0.111111111111111,"BUT","ALT","ALT.BUT",0.0176,"N","lact","preg","N"
"ALT.preg","CLV.cyc",0.0769230769230769,"ALT","CLV","ALT.CLV",0,"N","preg","cyc","N"
"ALT.preg","CRP.preg",0.0833333333333333,"ALT","CRP","ALT.CRP",0,"N","preg","preg","Y"
"ALT.preg","CYS.juvenile",0.0769230769230769,"ALT","CYS","ALT.CYS",0.1021,"N","preg","juvenile","N"
"CYS.juvenile","ALT.cyc",0.0833333333333333,"CYS","ALT","ALT.CYS",0.1021,"N","juvenile","cyc","N"
"ALT.cyc","DJY.juvenile",0.0714285714285714,"ALT","DJY","ALT.DJY",0.0048,"N","cyc","juvenile","N"
"DJY.juvenile","ALT.preg",0.0714285714285714,"DJY","ALT","ALT.DJY",0.0048,"N","juvenile","preg","N"
"ALT.lact","DMK.lact",0.0555555555555556,"ALT","DMK","ALT.DMK",0.0181,"N","lact","lact","Y"
"DUC.lact","ALT.cyc",0.0588235294117647,"DUC","ALT","ALT.DUC",0.004,"N","lact","cyc","N"
"ALT.lact","FLF.juvenile",0.0833333333333333,"ALT","FLF","ALT.FLF",0.0225,"N","lact","juvenile","N"
"NIR.preg","ALT.preg",0.0357142857142857,"NIR","ALT","ALT.NIR",0,"N","preg","preg","Y"
"ALT.preg","PDR.juvenile",0.117647058823529,"ALT","PDR","ALT.PDR",0.5032,"Y","preg","juvenile","N"
"ALT.lact","PDR.juvenile",0.0476190476190476,"ALT","PDR","ALT.PDR",0.5032,"Y","lact","juvenile","N"
"ALT.cyc","PDR.juvenile",0.111111111111111,"ALT","PDR","ALT.PDR",0.5032,"Y","cyc","juvenile","N"
"RKS.juvenile","ALT.lact",0.230769230769231,"RKS","ALT","ALT.RKS",0.1256,"Y","juvenile","lact","N"
"ALT.lact","RSO.cyc",0.0666666666666667,"ALT","RSO","ALT.RSO",0.02,"N","lact","cyc","N"
"RSO.preg","ALT.preg",0.0666666666666667,"RSO","ALT","ALT.RSO",0.02,"N","preg","preg","Y"
"TUK.preg","ALT.cyc",0.0208333333333333,"TUK","ALT","ALT.TUK",0,"N","preg","cyc","N"
"ALT.cyc","VLT.juvenile",0.0666666666666667,"ALT","VLT","ALT.VLT",0.1324,"Y","cyc","juvenile","N"
"ALT.preg","VLT.juvenile",0.133333333333333,"ALT","VLT","ALT.VLT",0.1324,"Y","preg","juvenile","N"
"WHT.lact","ALT.lact",0.0555555555555556,"WHT","ALT","ALT.WHT",0.2604,"Y","lact","lact","Y"
"ALT.preg","WLV.lact",0.0526315789473684,"ALT","WLV","ALT.WLV",0.0128,"N","preg","lact","N"
