"Dolphin.ID","Sightings"
"ALG",119
"ALI",41
"ALT",41
"AMA",16
"AMO",52
"AMP",67
"ANE",55
"ARI",13
"ASN",93
"ATC",14
"ATH",112
"ATW",26
"BAD",171
"BAN",38
"BAY",108
"BES",16
"BIS",42
"BLB",83
"BLI",431
"BLK",95
"BLM",115
"BMB",30
"BMN",13
"BMY",11
"BNG",70
"BOJ",13
"BOM",102
"BOR",30
"BRE",66
"BRP",11
"BRT",11
"BSC",35
"BSS",299
"BUL",80
"BUS",22
"BUT",23
"BWS",11
"BYT",344
"BZD",16
"CAB",41
"CAD",14
"CAL",24
"CCO",13
"CCU",16
"CDB",40
"CED",11
"CER",10
"CHA",18
"CHC",24
"CHL",35
"CHM",36
"CHS",75
"CHT",33
"CII",21
"CKY",13
"CLA",49
"CLO",118
"CLV",50
"COC",53
"COI",73
"COK",31
"COP",61
"COR",171
"COU",18
"CRE",44
"CRO",220
"CRP",35
"CRS",19
"CRV",145
"CSK",66
"CTY",17
"CUR",35
"CVO",23
"CYR",56
"CYS",23
"DBH",12
"DCH",64
"DCK",16
"DCR",15
"DEM",342
"DEN",110
"DID",192
"DJY",19
"DMK",26
"DNZ",15
"DOD",209
"DOP",22
"DOU",22
"DOY",23
"DOZ",12
"DUC",48
"DUN",76
"DUR",68
"EDE",337
"EED",250
"EFT",86
"ENC",32
"EPC",13
"EQU",24
"ESM",10
"ESP",54
"EST",26
"FAO",19
"FAT",531
"FCN",12
"FEA",33
"FEN",13
"FID",53
"FIN",32
"FKY",12
"FLF",10
"FLI",309
"FNT",67
"FOA",10
"FOO",25
"FRA",36
"FRK",22
"FRL",64
"FRO",12
"FSB",52
"FUF",205
"FUT",261
"GAB",118
"GAF",18
"GAN",23
"GEK",43
"GHA",86
"GMP",115
"GNO",10
"GOB",70
"GOD",44
"GOO",63
"GRF",12
"GRG",30
"GRV",37
"GTL",10
"GUA",83
"GUM",176
"HAB",21
"HAL",73
"HAM",57
"HAT",47
"HBB",144
"HEA",16
"HFF",233
"HIC",30
"HLL",10
"HNK",44
"HOH",104
"HOL",241
"HOW",42
"HPP",23
"HRA",69
"HRS",70
"HUB",34
"HUL",110
"HYM",21
"HYR",46
"IBL",30
"IBX",78
"IND",88
"ITG",25
"JAB",15
"JAC",16
"JAG",43
"JAH",43
"JAS",216
"JCR",16
"JEL",14
"JFR",892
"JIT",10
"JMC",13
"JMY",74
"JND",27
"JNG",20
"JNI",61
"JOK",11
"JOL",12
"JOY",637
"JUI",111
"JUM",68
"KEA",15
"KES",15
"KIT",236
"KIY",515
"KNG",35
"KOA",33
"KST",12
"KWA",25
"KWI",134
"KYD",29
"LAD",16
"LAS",23
"LAU",141
"LDO",15
"LEN",168
"LEV",10
"LIC",630
"LIF",38
"LIT",154
"LLA",11
"LLO",10
"LNS",25
"LOO",29
"LYR",22
"MDC",10
"MDH",22
"MEO",18
"MER",17
"MIN",364
"MIS",21
"MNG",21
"MNM",11
"MNV",18
"MOO",86
"MOU",450
"MOZ",34
"MRA",21
"MSC",22
"MTS",27
"MUN",184
"MUR",15
"MYS",66
"NET",39
"NEV",41
"NIB",58
"NIC",711
"NIP",98
"NIR",80
"NIT",72
"NOE",143
"NOO",218
"NUD",47
"NUM",58
"OLI",138
"OMA",10
"OPY",88
"OSI",13
"PDR",31
"PDT",28
"PDX",107
"PEG",637
"PGP",23
"PHA",138
"PHO",137
"PHX",13
"PIC",812
"PIL",14
"PIX",31
"PKA",22
"PNF",29
"POK",26
"POL",78
"POS",52
"PRN",10
"PRS",10
"PSI",35
"PSU",248
"PTE",13
"PUC",1061
"PWE",27
"PZL",53
"PZZ",15
"QUI",26
"QUO",17
"RAP",35
"RAZ",20
"RBD",65
"RDC",40
"REG",31
"REN",39
"REP",38
"RHO",335
"RHY",41
"RIP",133
"RKS",19
"RKT",82
"RLF",35
"RPC",11
"RSH",64
"RSO",82
"RUF",13
"SAS",69
"SCA",113
"SCH",59
"SCR",126
"SCT",49
"SCU",60
"SEM",11
"SEQ",44
"SER",12
"SGG",16
"SHB",12
"SHC",531
"SHO",117
"SKF",511
"SKR",57
"SKW",41
"SLI",160
"SLT",58
"SLV",40
"SMB",45
"SNW",12
"SOG",197
"SON",97
"SOP",20
"SPE",98
"SPO",83
"SQE",19
"SQL",247
"SQU",616
"STV",11
"SUM",45
"SUP",37
"SUR",789
"SVD",56
"SYM",30
"TAB",56
"TAF",87
"TAL",56
"TAM",81
"TAT",43
"TAW",76
"TBA",16
"TDL",19
"TDM",26
"TDO",26
"THU",11
"TIP",56
"TOG",25
"TON",148
"TOR",35
"TRE",89
"TRY",133
"TST",15
"TTM",100
"TUF",84
"TUK",174
"TUL",71
"TUN",35
"TUX",24
"TWE",160
"TWO",223
"UHF",410
"URP",60
"URS",13
"UVE",32
"VAM",26
"VBE",140
"VEC",37
"VEG",17
"VEN",11
"VLT",23
"WAC",107
"WAN",52
"WED",100
"WEE",15
"WES",13
"WHE",38
"WHL",38
"WHN",93
"WHO",59
"WHT",28
"WHZ",21
"WIF",15
"WIY",132
"WLB",14
"WLV",44
"WNG",141
"WOF",279
"WOM",94
"WON",21
"WOP",36
"WPY",31
"WYL",101
"YAD",32
"YAN",204
"YIN",184
"YOG",128
"ZAG",143
"ZEP",187
"ZIG",148
"ZIP",358
"ZOE",56
