"Observation.ID","Observation.Date","Dolphin.ID"
15164,"2005-08-11","AAR"
20356,"2015-04-30","AAR"
21723,"2016-06-19","AAR"
18717,"2012-10-29","ABA"
19192,"2013-10-03","ABA"
19412,"2013-11-10","ABA"
19466,"2013-11-15","ABA"
21228,"2015-09-09","ABA"
21259,"2015-09-17","ABA"
25688,"2019-06-25","ABA"
26859,"2022-06-22","ABA"
27744,"2023-05-05","ABA"
28495,"2023-10-07","ABA"
9987,"2001-08-28","ABC"
10043,"2001-09-05","ABC"
12424,"2003-07-06","ABC"
12833,"2003-09-04","ABC"
14292,"2004-09-19","ABC"
14825,"2005-05-05","ABC"
14918,"2005-06-30","ABC"
15054,"2005-07-15","ABC"
15354,"2005-10-03","ABC"
15454,"2006-04-19","ABC"
15751,"2006-07-19","ABC"
15918,"2006-08-06","ABC"
15943,"2006-08-12","ABC"
15978,"2006-08-17","ABC"
15985,"2006-08-18","ABC"
16046,"2006-08-28","ABC"
16211,"2006-10-25","ABC"
16304,"2007-06-08","ABC"
16335,"2007-06-14","ABC"
16696,"2008-07-25","ABC"
17016,"2009-07-17","ABC"
17152,"2009-09-10","ABC"
17167,"2009-09-17","ABC"
17247,"2009-10-18","ABC"
17485,"2010-05-12","ABC"
17785,"2010-11-02","ABC"
17790,"2010-11-03","ABC"
19382,"2013-11-08","ABC"
19385,"2013-11-09","ABC"
20029,"2014-10-14","ABC"
20145,"2014-11-07","ABC"
22091,"2017-05-18","ABC"
22112,"2017-05-20","ABC"
24663,"2018-06-11","ABC"
24779,"2018-07-12","ABC"
25541,"2019-05-13","ABC"
25587,"2019-05-28","ABC"
25602,"2019-05-31","ABC"
26074,"2019-07-01","ABC"
25836,"2019-07-27","ABC"
25811,"2019-09-25","ABC"
26794,"2022-06-07","ABC"
26848,"2022-06-19","ABC"
26927,"2022-07-08","ABC"
27038,"2022-07-27","ABC"
27370,"2022-08-15","ABC"
27427,"2022-09-08","ABC"
27729,"2023-05-03","ABC"
27890,"2023-06-21","ABC"
28000,"2023-07-16","ABC"
27656,"2023-07-17","ABC"
28727,"2024-06-25","ABC"
28809,"2024-07-16","ABC"
28813,"2024-07-17","ABC"
28878,"2024-11-30","ABC"
3300,"1993-07-23","ABE"
3791,"1994-05-15","ABE"
3804,"1994-05-21","ABE"
4467,"1996-06-25","ABE"
16251,"2007-05-22","ACA"
15419,"2005-11-15","ACD"
11370,"2002-08-30","ACF"
12616,"2003-08-02","ACF"
14178,"2004-09-13","ACF"
14608,"2004-10-29","ACF"
15048,"2005-07-14","ACF"
15631,"2006-06-19","ACF"
16615,"2008-07-03","ACF"
16912,"2009-06-21","ACF"
18084,"2011-10-01","ACF"
18297,"2012-06-19","ACF"
27734,"2023-05-04","ACF"
27762,"2023-05-09","ACF"
27520,"2023-06-19","ACF"
27879,"2023-06-20","ACF"
28509,"2023-11-21","ACF"
28687,"2024-06-06","ACF"
4788,"1996-09-08","ACK"
4795,"1996-09-09","ACK"
4865,"1996-09-26","ACK"
4931,"1996-10-12","ACK"
4936,"1996-10-19","ACK"
5802,"1997-08-29","ACK"
6686,"1998-07-18","ACK"
28876,"2024-11-30","ACR"
9746,"2001-08-03","ADC"
8230,"1999-09-12","ADR"
10629,"2002-06-26","ADR"
12552,"2003-07-26","ADR"
18712,"2012-10-29","ADR"
19723,"2014-07-01","ADR"
5882,"1997-10-01","AGA"
6028,"1997-11-01","AGA"
6225,"1998-04-25","AGA"
6237,"1998-05-02","AGA"
6393,"1998-05-30","AGA"
6587,"1998-07-06","AGA"
7119,"1998-09-07","AGA"
7218,"1998-10-30","AGA"
7234,"1998-11-11","AGA"
7275,"1998-12-04","AGA"
7297,"1998-12-06","AGA"
7388,"1999-02-18","AGA"
7770,"1999-06-24","AGA"
8345,"1999-10-04","AGA"
8930,"2000-09-27","AGA"
10040,"2001-09-05","AGA"
10144,"2001-09-20","AGA"
10229,"2001-10-07","AGA"
10236,"2001-10-15","AGA"
10246,"2001-10-22","AGA"
10318,"2002-03-19","AGA"
11008,"2002-07-30","AGA"
11175,"2002-08-14","AGA"
11537,"2002-10-03","AGA"
11661,"2002-10-31","AGA"
11666,"2002-11-04","AGA"
11780,"2003-01-08","AGA"
11921,"2003-03-11","AGA"
12133,"2003-04-16","AGA"
12240,"2003-05-01","AGA"
12251,"2003-05-02","AGA"
12424,"2003-07-06","AGA"
12818,"2003-09-03","AGA"
13000,"2003-10-09","AGA"
13277,"2004-04-07","AGA"
13348,"2004-04-30","AGA"
14292,"2004-09-19","AGA"
14666,"2004-11-14","AGA"
14685,"2004-11-16","AGA"
14782,"2005-04-04","AGA"
15054,"2005-07-15","AGA"
15120,"2005-08-02","AGA"
15354,"2005-10-03","AGA"
15389,"2005-10-23","AGA"
15430,"2005-11-23","AGA"
15758,"2006-07-19","AGA"
15892,"2006-08-04","AGA"
15917,"2006-08-06","AGA"
16211,"2006-10-25","AGA"
16696,"2008-07-25","AGA"
17153,"2009-09-10","AGA"
17247,"2009-10-18","AGA"
17485,"2010-05-12","AGA"
17791,"2010-11-03","AGA"
18096,"2011-10-15","AGA"
18514,"2012-08-17","AGA"
19382,"2013-11-08","AGA"
19385,"2013-11-09","AGA"
20029,"2014-10-14","AGA"
20565,"2015-06-09","AGA"
20804,"2015-06-29","AGA"
22092,"2017-05-18","AGA"
22112,"2017-05-20","AGA"
24663,"2018-06-11","AGA"
24779,"2018-07-12","AGA"
25286,"2018-10-06","AGA"
25601,"2019-05-31","AGA"
25811,"2019-09-25","AGA"
26016,"2019-10-30","AGA"
26310,"2019-11-16","AGA"
26557,"2022-04-11","AGA"
26631,"2022-05-17","AGA"
26730,"2022-05-19","AGA"
26794,"2022-06-07","AGA"
26848,"2022-06-19","AGA"
26927,"2022-07-08","AGA"
27038,"2022-07-27","AGA"
27427,"2022-09-08","AGA"
27174,"2022-11-10","AGA"
27834,"2023-06-11","AGA"
27890,"2023-06-21","AGA"
27655,"2023-07-17","AGA"
28809,"2024-07-16","AGA"
28811,"2024-07-17","AGA"
28878,"2024-11-30","AGA"
26755,"2022-05-27","AGB"
26834,"2022-06-16","AGB"
27759,"2023-05-09","AGB"
27614,"2023-07-05","AGB"
28686,"2024-06-06","AGB"
1099,"1989-06-23","AHA"
1112,"1989-06-24","AHA"
1729,"1990-09-03","AHA"
2142,"1991-04-22","AHA"
2151,"1991-04-27","AHA"
2189,"1991-05-15","AHA"
2249,"1991-06-13","AHA"
2336,"1991-07-28","AHA"
2380,"1991-08-10","AHA"
2552,"1991-09-28","AHA"
2584,"1991-10-02","AHA"
2604,"1991-10-09","AHA"
2821,"1992-06-26","AHA"
2972,"1992-09-21","AHA"
