"Dolphin.ID","Sightings","entrydate","departdate"
"ALG",119,1973-11-01,2004-05-01
"ALI",41,1986-11-01,2011-05-01
"ALT",41,1992-11-01,2024-11-30
"AMA",16,1988-11-01,2009-05-01
"AMO",52,2000-11-01,2016-05-01
"AMP",67,1986-11-01,2024-11-30
"ANE",55,2013-11-01,2024-11-30
"ARI",13,1995-11-01,2024-11-30
"ASN",93,2008-01-01,2021-05-01
"ATC",14,1995-11-01,2024-11-30
"ATH",112,1989-11-01,2024-11-30
"ATW",26,1988-11-01,2024-11-30
"BAD",171,1986-11-01,2024-11-30
"BAN",38,1980-11-01,2012-05-01
"BAY",108,1989-11-01,2007-05-01
"BES",16,2004-11-01,2015-05-01
"BIS",42,1969-11-01,2007-05-01
"BLB",83,1976-11-01,2016-05-01
"BLI",431,1974-11-01,2020-05-01
"BLK",95,2000-11-01,2024-11-30
"BLM",115,2015-11-20,2024-11-30
"BMB",30,1984-11-01,2017-05-01
"BMN",13,1995-11-01,2024-11-30
"BMY",11,1989-11-01,2024-11-30
"BNG",70,2004-11-01,2019-05-01
"BOJ",13,2000-11-01,2024-11-30
"BOM",102,1985-11-01,2021-05-01
"BOR",30,2016-10-14,2024-11-30
"BRE",66,1981-11-01,2024-11-30
"BRP",11,2014-11-15,2024-11-30
"BRT",11,1995-11-01,2024-11-30
"BSC",35,1996-11-01,2024-11-30
"BSS",299,2002-12-12,2019-07-26
"BUL",80,1976-11-01,2003-05-01
"BUS",22,1978-11-01,2005-05-01
"BUT",23,2006-11-01,2024-11-30
"BWS",11,1995-11-01,2024-11-30
"BYT",344,1976-11-01,2024-11-30
"BZD",16,2017-11-01,2024-11-30
"CAB",41,2000-12-12,2020-05-01
"CAD",14,2000-11-01,2024-11-30
"CAL",24,1986-11-01,1999-05-01
"CCO",13,1991-11-01,2017-05-01
"CCU",16,2015-11-15,2019-05-01
"CDB",40,2012-01-15,2024-11-30
"CED",11,1990-11-01,2024-11-30
"CER",10,1999-11-01,2024-11-30
"CHA",18,1986-11-01,2009-05-01
"CHC",24,1996-11-01,2015-07-28
"CHL",35,2004-05-01,2017-05-01
"CHM",36,1993-11-01,2006-05-01
"CHS",75,2001-11-01,2020-05-01
"CHT",33,1997-11-01,2024-11-30
"CII",21,2004-11-01,2024-11-30
"CKY",13,1981-11-01,2002-05-01
"CLA",49,1997-11-01,2024-11-30
"CLO",118,1996-11-01,2024-11-30
"CLV",50,2000-11-01,2024-11-30
"COC",53,1983-11-01,2012-05-01
"COI",73,2003-11-01,2024-11-30
"COK",31,2011-01-21,2024-11-30
"COP",61,2005-11-01,2024-11-30
"COR",171,1994-10-01,2011-05-01
"COU",18,1962-11-01,1993-05-01
"CRE",44,1984-11-01,2002-05-01
"CRO",220,1964-11-01,1992-05-08
"CRP",35,2002-02-01,2024-11-30
"CRS",19,1995-11-01,2024-11-30
"CRV",145,1998-11-01,2024-11-30
"CSK",66,1999-11-01,2014-05-01
"CTY",17,2002-11-01,2024-11-30
"CUR",35,1987-11-01,2024-11-30
"CVO",23,2014-02-01,2024-11-30
"CYR",56,1993-11-01,2024-11-30
"CYS",23,2009-01-15,2024-11-30
"DBH",12,1976-11-01,1988-05-01
"DCH",64,2015-02-15,2024-11-30
"DCK",16,2021-11-24,2024-11-30
"DCR",15,1985-11-01,2015-05-01
"DEM",342,1990-11-01,2024-11-30
"DEN",110,1975-11-01,1998-05-01
"DID",192,1976-11-01,2007-05-01
"DJY",19,2012-11-01,2024-11-30
"DMK",26,1995-11-01,2024-11-30
"DNZ",15,1997-11-01,2024-11-30
"DOD",209,2003-10-15,2024-11-30
"DOP",22,2013-11-01,2024-11-30
"DOU",22,2021-11-19,2024-11-30
"DOY",23,2019-05-10,2024-11-30
"DOZ",12,1964-11-01,2006-05-01
"DUC",48,1997-12-22,2024-11-30
"DUN",76,1986-11-01,2010-07-01
"DUR",68,2002-11-01,2019-05-01
"EDE",337,2007-11-19,2024-11-30
"EED",250,1978-11-01,2018-05-01
"EFT",86,1988-11-01,2008-05-01
"ENC",32,2010-11-01,2024-11-30
"EPC",13,1994-11-01,2024-11-30
"EQU",24,1989-11-01,2008-05-01
"ESM",10,2002-11-01,2024-11-30
"ESP",54,1995-11-01,2024-11-30
"EST",26,1970-11-01,2001-05-01
"FAO",19,2016-02-01,2024-11-30
"FAT",531,1976-11-01,2005-05-01
"FCN",12,1990-11-01,2015-05-01
"FEA",33,1977-11-01,2012-05-01
"FEN",13,1985-11-01,2024-11-30
"FID",53,1985-11-01,2024-11-30
"FIN",32,1983-11-01,2009-05-01
"FKY",12,1982-11-01,2024-11-30
"FLF",10,2013-11-01,2024-11-30
"FLI",309,1987-11-01,2008-07-23
"FNT",67,1993-11-01,2024-11-30
"FOA",10,1993-11-01,2024-11-30
"FOO",25,1975-11-01,2016-05-01
"FRA",36,1978-11-01,2012-05-01
"FRK",22,2012-01-01,2024-11-30
"FRL",64,1999-11-01,2024-11-30
"FRO",12,1978-11-01,2009-05-01
"FSB",52,2011-11-01,2024-11-30
"FUF",205,1991-11-01,2024-11-30
"FUT",261,2011-11-13,2024-11-30
"GAB",118,1994-11-01,2024-11-30
"GAF",18,1992-11-01,2024-11-30
"GAN",23,2008-10-15,2024-11-30
"GEK",43,2013-11-08,2024-11-30
"GHA",86,1975-11-01,2007-05-01
"GMP",115,2001-11-01,2024-11-30
"GNO",10,1995-11-01,2024-11-30
"GOB",70,1983-11-01,2002-05-01
"GOD",44,1986-11-01,2019-12-15
"GOO",63,1993-11-01,2003-05-01
"GRF",12,1996-11-01,2024-11-30
"GRG",30,2000-10-18,2016-05-01
"GRV",37,1984-11-01,2024-11-30
"GTL",10,1982-11-01,2006-05-01
"GUA",83,2010-11-01,2024-11-30
"GUM",176,1976-11-01,2017-05-01
"HAB",21,2015-12-01,2024-11-30
"HAL",73,1969-11-01,1998-05-01
"HAM",57,1994-11-27,2009-05-01
"HAT",47,2002-11-01,2024-11-30
"HBB",144,1985-11-01,2017-05-01
"HEA",16,1983-11-01,1998-05-01
"HFF",233,2009-12-10,2024-11-30
"HIC",30,1982-11-01,2013-05-01
"HLL",10,1987-12-01,1989-02-15
"HNK",44,1992-11-01,2024-11-30
"HOH",104,1969-11-01,2001-05-01
"HOL",241,1964-11-01,1995-07-26
"HOW",42,2005-11-01,2021-05-01
"HPP",23,2004-11-01,2024-11-30
"HRA",69,1977-11-01,2017-05-01
"HRS",70,2001-10-15,2024-11-30
"HUB",34,2011-12-01,2024-11-30
"HUL",110,1984-11-01,2008-05-01
