"Dolphin1","Dolphin2","IDPair","DyadML","Closekin"
"ALG","ALI","ALG.ALI",NA,"N"
"ALG","ALT","ALG.ALT",NA,"N"
"ALG","AMA","ALG.AMA",NA,"N"
"ALG","AMO","ALG.AMO",NA,"N"
"ALG","AMP","ALG.AMP",NA,"N"
"ALG","ANE","ALG.ANE",NA,"N"
"ALG","ARI","ALG.ARI",NA,"N"
"ALG","ASN","ALG.ASN",NA,"N"
"ALG","ATC","ALG.ATC",NA,"N"
"ALG","ATH","ALG.ATH",NA,"N"
"ALG","ATW","ALG.ATW",NA,"N"
"ALG","BAD","ALG.BAD",NA,"N"
"ALG","BAN","ALG.BAN",NA,"N"
"ALG","BAY","ALG.BAY",NA,"N"
"ALG","BES","ALG.BES",NA,"N"
"ALG","BIS","ALG.BIS",NA,"N"
"ALG","BLB","ALG.BLB",NA,"N"
"ALG","BLI","ALG.BLI",NA,"N"
"ALG","BLK","ALG.BLK",NA,"N"
"ALG","BLM","ALG.BLM",NA,"N"
"ALG","BMB","ALG.BMB",NA,"N"
"ALG","BMN","ALG.BMN",NA,"N"
"ALG","BMY","ALG.BMY",NA,"N"
"ALG","BNG","ALG.BNG",NA,"N"
"ALG","BOJ","ALG.BOJ",NA,"N"
"ALG","BOM","ALG.BOM",NA,"N"
"ALG","BOR","ALG.BOR",NA,"N"
"ALG","BRE","ALG.BRE",NA,"N"
"ALG","BRP","ALG.BRP",NA,"N"
"ALG","BRT","ALG.BRT",NA,"N"
"ALG","BSC","ALG.BSC",NA,"N"
"ALG","BSS","ALG.BSS",NA,"N"
"ALG","BUL","ALG.BUL",NA,"N"
"ALG","BUS","ALG.BUS",NA,"N"
"ALG","BUT","ALG.BUT",NA,"N"
"ALG","BWS","ALG.BWS",NA,"N"
"ALG","BYT","ALG.BYT",NA,"N"
"ALG","BZD","ALG.BZD",NA,"N"
"ALG","CAB","ALG.CAB",NA,"N"
"ALG","CAD","ALG.CAD",NA,"N"
"ALG","CAL","ALG.CAL",NA,"N"
"ALG","CCO","ALG.CCO",NA,"N"
"ALG","CCU","ALG.CCU",NA,"N"
"ALG","CDB","ALG.CDB",NA,"N"
"ALG","CED","ALG.CED",NA,"N"
"ALG","CER","ALG.CER",NA,"N"
"ALG","CHA","ALG.CHA",NA,"N"
"ALG","CHC","ALG.CHC",NA,"N"
"ALG","CHL","ALG.CHL",NA,"N"
"ALG","CHM","ALG.CHM",NA,"N"
"ALG","CHS","ALG.CHS",NA,"N"
"ALG","CHT","ALG.CHT",NA,"N"
"ALG","CII","ALG.CII",NA,"N"
"ALG","CKY","ALG.CKY",NA,"N"
"ALG","CLA","ALG.CLA",NA,"N"
"ALG","CLO","ALG.CLO",NA,"N"
"ALG","CLV","ALG.CLV",NA,"N"
"ALG","COC","ALG.COC",NA,"N"
"ALG","COI","ALG.COI",NA,"N"
"ALG","COK","ALG.COK",NA,"N"
"ALG","COP","ALG.COP",NA,"N"
"ALG","COR","ALG.COR",NA,"N"
"ALG","COU","ALG.COU",NA,"N"
"ALG","CRE","ALG.CRE",NA,"N"
"ALG","CRO","ALG.CRO",NA,"N"
"ALG","CRP","ALG.CRP",NA,"N"
"ALG","CRS","ALG.CRS",NA,"N"
"ALG","CRV","ALG.CRV",NA,"N"
"ALG","CSK","ALG.CSK",NA,"N"
"ALG","CTY","ALG.CTY",NA,"N"
"ALG","CUR","ALG.CUR",NA,"N"
"ALG","CVO","ALG.CVO",NA,"N"
"ALG","CYR","ALG.CYR",NA,"N"
"ALG","CYS","ALG.CYS",NA,"N"
"ALG","DBH","ALG.DBH",NA,"N"
"ALG","DCH","ALG.DCH",NA,"N"
"ALG","DCK","ALG.DCK",NA,"N"
"ALG","DCR","ALG.DCR",NA,"N"
"ALG","DEM","ALG.DEM",NA,"N"
"ALG","DEN","ALG.DEN",NA,"N"
"ALG","DID","ALG.DID",NA,"N"
"ALG","DJY","ALG.DJY",NA,"N"
"ALG","DMK","ALG.DMK",NA,"N"
"ALG","DNZ","ALG.DNZ",NA,"N"
"ALG","DOD","ALG.DOD",NA,"N"
"ALG","DOP","ALG.DOP",NA,"N"
"ALG","DOU","ALG.DOU",NA,"N"
"ALG","DOY","ALG.DOY",NA,"N"
"ALG","DOZ","ALG.DOZ",NA,"N"
"ALG","DUC","ALG.DUC",NA,"N"
"ALG","DUN","ALG.DUN",NA,"N"
"ALG","DUR","ALG.DUR",NA,"N"
"ALG","EDE","ALG.EDE",NA,"N"
"ALG","EED","ALG.EED",NA,"N"
"ALG","EFT","ALG.EFT",NA,"N"
"ALG","ENC","ALG.ENC",NA,"N"
"ALG","EPC","ALG.EPC",NA,"N"
"ALG","EQU","ALG.EQU",NA,"N"
"ALG","ESM","ALG.ESM",NA,"N"
"ALG","ESP","ALG.ESP",NA,"N"
"ALG","EST","ALG.EST",NA,"N"
"ALG","FAO","ALG.FAO",NA,"N"
"ALG","FAT","ALG.FAT",NA,"N"
"ALG","FCN","ALG.FCN",NA,"N"
"ALG","FEA","ALG.FEA",NA,"N"
"ALG","FEN","ALG.FEN",NA,"N"
"ALG","FID","ALG.FID",NA,"N"
"ALG","FIN","ALG.FIN",NA,"N"
"ALG","FKY","ALG.FKY",NA,"N"
"ALG","FLF","ALG.FLF",NA,"N"
"ALG","FLI","ALG.FLI",NA,"N"
"ALG","FNT","ALG.FNT",NA,"N"
"ALG","FOA","ALG.FOA",NA,"N"
"ALG","FOO","ALG.FOO",NA,"N"
"ALG","FRA","ALG.FRA",NA,"N"
"ALG","FRK","ALG.FRK",NA,"N"
"ALG","FRL","ALG.FRL",NA,"N"
"ALG","FRO","ALG.FRO",NA,"N"
"ALG","FSB","ALG.FSB",NA,"N"
"ALG","FUF","ALG.FUF",NA,"N"
"ALG","FUT","ALG.FUT",NA,"N"
"ALG","GAB","ALG.GAB",NA,"N"
"ALG","GAF","ALG.GAF",NA,"N"
"ALG","GAN","ALG.GAN",NA,"N"
"ALG","GEK","ALG.GEK",NA,"N"
"ALG","GHA","ALG.GHA",NA,"N"
"ALG","GMP","ALG.GMP",NA,"N"
"ALG","GNO","ALG.GNO",NA,"N"
"ALG","GOB","ALG.GOB",NA,"N"
"ALG","GOD","ALG.GOD",NA,"N"
"ALG","GOO","ALG.GOO",NA,"N"
"ALG","GRF","ALG.GRF",NA,"N"
"ALG","GRG","ALG.GRG",NA,"N"
"ALG","GRV","ALG.GRV",NA,"N"
"ALG","GTL","ALG.GTL",NA,"N"
"ALG","GUA","ALG.GUA",NA,"N"
"ALG","GUM","ALG.GUM",NA,"N"
"ALG","HAB","ALG.HAB",NA,"N"
"ALG","HAL","ALG.HAL",NA,"N"
"ALG","HAM","ALG.HAM",NA,"N"
