"Dolphin.ID","cyc.strength","repro.juvenile.strength","lact.strength","preg.strength","repro.unknown.strength"
"ALT",0,0,0,1.9936159214023,0
"AMO",0.281385281385281,1.35408552068758,0.308746628258823,0.974080086580086,1.69482960607727
"AMP",0,0,0,0,0
"ANE",1.21457860137684,2.23961354742941,1.63817523056653,0.847147369538674,1.4209008227241
"ASN",0.400253178540482,0.910921801357268,0,0.289899408117493,0.266248534043517
"ATC",0,0,0.361111111111111,0.75,1.15715970997538
"ATH",0.726533597121832,0.121266025641026,0.57490145921388,1.26785563152171,0
"ATW",0,0,0.581739094239094,1.36346801346801,0
"BAD",0,0,1.50701738159691,0.970159496060541,0
"BLB",0,0,0,0.0833333333333333,0
"BLI",0,0,0,0,0
"BLK",0,0.230781960592224,0.592430259005454,0.973147710016435,1.5607742712
"BLM",0,2.66691541982876,0,0,3.11863221453803
"BMN",0,0,0,0.0434782608695652,0
"BNG",0.187509186583179,0.505502139603566,0.256676779066655,0.629144292714272,0.534026601417906
"BOJ",0,0.333333333333333,0,0,0
"BOM",0.272146955438912,0,0,0,0
"BOR",0,0.532233459918882,0,0,1.13543219998685
"BRE",0.00338983050847458,0,0,0,0
"BRP",0,2.58050094982198,0,0,0.7
"BSC",0,0.262443988759778,0,0,0
"BSS",1.13659832341802,1.16473586450738,1.30020329823748,2.31223880701345,1.4690901862091
"BUT",0.226190476190476,0.349901624027911,1.74641019956422,0,0.194788441692466
"BWS",0,0,1.46999914624776,0,0
"BYT",0,0,0,0,0
"BZD",0,0.721002886002886,0,0,0
"CAD",0,0.229206980788878,0.142857142857143,0,0.616803918663308
"CCU",0,0.795494875939754,0,0,0
"CDB",0,0.742275665624931,0.273083674029052,0.297619047619048,0.889394566785871
"CER",0,0,0,0,0.514797747055811
"CHC",0.333333333333333,0,0.95,0,0.0909090909090909
"CHL",0,0.382638226806669,0.566721056721057,0.242857142857143,0.299242424242424
"CHT",0,0.027027027027027,0,0,0.731353701536063
"CLA",0,0.140559440559441,0.39927474486298,0.05,0.315362460120525
"CLO",0.439076246334311,0.931890928770124,2.59797826113687,0.9066266528158,0
"CLV",1.86597088478261,1.20832803119187,1.50902533012373,0.649918941935749,1.37009241857145
"COI",0.225025649650997,0.451804639440703,0.459051435355348,0.429689476956414,0.833243829960844
"COK",0.476562326562327,0.23528672573295,0,0.231262201850437,0.0625
"COP",1.6773821598669,1.37149389903687,0.653607099499663,1.13522586382189,0.580853372054142
"CRP",0,0.156433888691953,0.0961098398169336,0.917257722149027,1.19550169891435
"CRS",0,0,0.276923076923077,0,0
"CRV",0,0.617815330801986,0,0,1.79469911022809
"CSK",0.154761904761905,0.53476677796189,0.712883762883763,0.55,0.726869213247274
"CUR",1.27672558922559,0.0215111301369863,0,0.111111111111111,0
"CVO",0,1.09507693888499,0.398789616180921,0.410207336523126,0
"CYR",0.241664912391572,0,0,0.329549568365358,0
"CYS",0,0.961167228930387,1.63050468050468,0,2.13048048143956
"DCH",0.310383075056988,2.09314248210525,0.125,0.565561274612999,0.657965940428321
"DCK",0,0.818257500394266,0,0,0
"DEM",0,0.0548442132348828,0,0,0
"DJY",0,2.82787567291178,0,0,2.07404615708129
"DMK",0,0,0,0,0.636103545508314
"DNZ",0,0,0,0,0.26506082821452
