"Dolphin.ID","Observation.Date","Observation.ID","AgeClass","ReproCat","Combined.ID","ReproSightings","Repro.ID","Age.ID"
"ALG",1988-05-10,688,"adult","unknown","ALG.unknown.adult",11,"ALG.unknown","ALG.adult"
"ALG",1988-05-14,692,"adult","unknown","ALG.unknown.adult",11,"ALG.unknown","ALG.adult"
"ALG",1988-05-16,696,"adult","unknown","ALG.unknown.adult",11,"ALG.unknown","ALG.adult"
"ALG",1988-07-10,732,"adult","cyc","ALG.cyc.adult",20,"ALG.cyc","ALG.adult"
"ALG",1988-08-22,830,"adult","cyc","ALG.cyc.adult",20,"ALG.cyc","ALG.adult"
"ALG",1988-12-07,933,"adult","preg","ALG.preg.adult",42,"ALG.preg","ALG.adult"
"ALG",1989-05-31,1023,"adult","preg","ALG.preg.adult",42,"ALG.preg","ALG.adult"
"ALG",1989-06-16,1075,"adult","preg","ALG.preg.adult",42,"ALG.preg","ALG.adult"
"ALG",1989-06-17,1081,"adult","preg","ALG.preg.adult",42,"ALG.preg","ALG.adult"
"ALG",1989-07-13,1181,"adult","preg","ALG.preg.adult",42,"ALG.preg","ALG.adult"
"ALG",1990-03-28,1306,"adult","lact","ALG.lact.adult",28,"ALG.lact","ALG.adult"
"ALG",1990-03-29,1311,"adult","lact","ALG.lact.adult",28,"ALG.lact","ALG.adult"
"ALG",1990-04-18,1379,"adult","lact","ALG.lact.adult",28,"ALG.lact","ALG.adult"
"ALG",1990-06-01,1500,"adult","lact","ALG.lact.adult",28,"ALG.lact","ALG.adult"
"ALG",1990-08-16,1661,"adult","lact","ALG.lact.adult",28,"ALG.lact","ALG.adult"
"ALG",1990-09-16,1804,"adult","cyc","ALG.cyc.adult",20,"ALG.cyc","ALG.adult"
"ALG",1990-09-28,1821,"adult","cyc","ALG.cyc.adult",20,"ALG.cyc","ALG.adult"
"ALG",1990-10-11,1846,"adult","cyc","ALG.cyc.adult",20,"ALG.cyc","ALG.adult"
"ALG",1990-10-15,1854,"adult","cyc","ALG.cyc.adult",20,"ALG.cyc","ALG.adult"
"ALG",1990-10-21,1876,"adult","cyc","ALG.cyc.adult",20,"ALG.cyc","ALG.adult"
"ALG",1990-10-22,1891,"adult","cyc","ALG.cyc.adult",20,"ALG.cyc","ALG.adult"
"ALG",1990-10-24,1897,"adult","cyc","ALG.cyc.adult",20,"ALG.cyc","ALG.adult"
"ALG",1990-11-25,1969,"adult","preg","ALG.preg.adult",42,"ALG.preg","ALG.adult"
"ALG",1990-11-26,1972,"adult","preg","ALG.preg.adult",42,"ALG.preg","ALG.adult"
"ALG",1990-12-12,2003,"adult","preg","ALG.preg.adult",42,"ALG.preg","ALG.adult"
"ALG",1991-03-13,2061,"adult","preg","ALG.preg.adult",42,"ALG.preg","ALG.adult"
"ALG",1991-04-27,2151,"adult","preg","ALG.preg.adult",42,"ALG.preg","ALG.adult"
"ALG",1991-05-15,2192,"adult","preg","ALG.preg.adult",42,"ALG.preg","ALG.adult"
"ALG",1991-05-16,2201,"adult","preg","ALG.preg.adult",42,"ALG.preg","ALG.adult"
"ALG",1991-08-25,2448,"adult","preg","ALG.preg.adult",42,"ALG.preg","ALG.adult"
"ALG",1991-08-26,2453,"adult","preg","ALG.preg.adult",42,"ALG.preg","ALG.adult"
"ALG",1991-09-10,2481,"adult","preg","ALG.preg.adult",42,"ALG.preg","ALG.adult"
