Observation ID,Observation Date,Platform,Observation Start Time,Observation End Time,Observation Start Time Accuracy,Observation Start Time Precision,Observation End Time Accuracy,Observation End Time Precision,Initial Activity,Initial Activity Certainty,Initial Distance,Primary Departure Reason,Secondary Departure Reason,Beaufort,Waypoint,Swell Ind,Substrate,Substrate Notes,Condition Notes,Transect Name,Transect Notes,General Notes,Camera ID,Camera Detail,First Frame,Last Frame
1,1985-05-06,OTHER,16:00:00,16:05:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
2,1985-05-09,OTHER,15:47:00,15:52:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
3,1985-05-10,OTHER,14:30:00,14:35:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
4,1985-05-10,OTHER,15:22:00,15:27:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
5,1985-05-13,OTHER,16:15:00,16:20:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
6,1985-05-15,OTHER,12:47:00,12:52:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
7,1985-05-15,OTHER,15:57:00,16:02:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
8,1985-05-15,OTHER,16:17:00,16:22:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
9,1985-05-18,OTHER,15:38:00,15:43:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
10,1985-05-20,OTHER,12:43:00,12:48:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
11,1985-05-20,OTHER,13:43:00,13:48:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
12,1985-05-21,OTHER,09:00:00,09:05:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
13,1985-05-21,OTHER,10:30:00,10:35:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
14,1985-05-21,OTHER,15:07:00,15:12:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
15,1985-05-22,OTHER,11:45:00,11:50:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
16,1985-05-22,OTHER,11:58:00,12:03:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
17,1985-05-22,OTHER,12:30:00,12:35:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
18,1985-05-23,OTHER,10:29:00,10:34:00,ESTIMATE,HOUR,ESTIMATE,HOUR,,,,,,,,False,,,,,,,,,,
