Observation ID,Observation Date,Platform,Observation Start Time,Observation End Time,Group ID,Group Size Time Period,Group Size Accuracy,Group Size Span,Group Size,Group Size Min,Group Size Max
711,1988-06-22,OTHER,11:01:24,11:07:00,47031,TOTAL BEFORE DEPART,ACCURATE,,2,,
711,1988-06-22,OTHER,11:01:24,11:07:00,47032,FIRST FIVE MINUTES,ACCURATE,,2,,
714,1988-06-23,OTHER,11:30:46,11:36:00,3,FIRST FIVE MINUTES,ACCURATE,,2,,
714,1988-06-23,OTHER,11:30:46,11:36:00,4,TOTAL BEFORE DEPART,ACCURATE,,2,,
715,1988-06-23,OTHER,11:52:00,11:57:00,5,FIRST FIVE MINUTES,ACCURATE,,2,,
715,1988-06-23,OTHER,11:52:00,11:57:00,6,TOTAL BEFORE DEPART,ACCURATE,,2,,
717,1988-06-30,OTHER,15:15:00,15:20:00,7,FIRST FIVE MINUTES,ACCURATE,,1,,
717,1988-06-30,OTHER,15:15:00,15:20:00,8,TOTAL BEFORE DEPART,ACCURATE,,1,,
718,1988-06-30,OTHER,15:55:00,16:14:00,9,FIRST FIVE MINUTES,ACCURATE,,2,,
718,1988-06-30,OTHER,15:55:00,16:14:00,10,TOTAL BEFORE DEPART,ACCURATE,,2,,
719,1988-06-30,OTHER,17:56:00,18:01:00,11,FIRST FIVE MINUTES,ACCURATE,,1,,
719,1988-06-30,OTHER,17:56:00,18:01:00,12,TOTAL BEFORE DEPART,ACCURATE,,1,,
720,1988-07-01,OTHER,11:52:43,11:58:00,13,FIRST FIVE MINUTES,ACCURATE,,1,,
720,1988-07-01,OTHER,11:52:43,11:58:00,14,TOTAL BEFORE DEPART,ACCURATE,,1,,
721,1988-07-05,OTHER,09:30:00,09:35:00,15,FIRST FIVE MINUTES,ACCURATE,,3,,
721,1988-07-05,OTHER,09:30:00,09:35:00,16,TOTAL BEFORE DEPART,ACCURATE,,3,,
723,1988-07-05,OTHER,10:00:00,10:05:00,17,FIRST FIVE MINUTES,ACCURATE,,3,,
723,1988-07-05,OTHER,10:00:00,10:05:00,18,TOTAL BEFORE DEPART,ACCURATE,,3,,
724,1988-07-05,OTHER,10:36:55,10:50:00,19,FIRST FIVE MINUTES,ACCURATE,,5,,
724,1988-07-05,OTHER,10:36:55,10:50:00,20,TOTAL BEFORE DEPART,ESTIMATE,RANGE,,3,8
725,1988-07-05,OTHER,11:03:00,11:08:00,21,FIRST FIVE MINUTES,ACCURATE,,2,,
725,1988-07-05,OTHER,11:03:00,11:08:00,22,TOTAL BEFORE DEPART,ACCURATE,,3,,
727,1988-07-05,OTHER,13:35:00,13:40:00,23,FIRST FIVE MINUTES,ACCURATE,,3,,
727,1988-07-05,OTHER,13:35:00,13:40:00,24,TOTAL BEFORE DEPART,ACCURATE,,3,,
729,1988-07-06,OTHER,09:44:00,09:49:00,25,FIRST FIVE MINUTES,ACCURATE,,4,,
729,1988-07-06,OTHER,09:44:00,09:49:00,26,TOTAL BEFORE DEPART,ACCURATE,,4,,
738,1988-07-15,OTHER,08:21:35,08:28:00,27,FIRST FIVE MINUTES,ACCURATE,,3,,
738,1988-07-15,OTHER,08:21:35,08:28:00,28,TOTAL BEFORE DEPART,ACCURATE,,3,,
739,1988-07-15,OTHER,08:36:00,08:41:00,29,FIRST FIVE MINUTES,ACCURATE,,1,,
739,1988-07-15,OTHER,08:36:00,08:41:00,30,TOTAL BEFORE DEPART,ACCURATE,,1,,
741,1988-07-15,OTHER,08:45:00,09:40:00,46371,TOTAL BEFORE DEPART,ACCURATE,,8,,
741,1988-07-15,OTHER,08:45:00,09:40:00,46372,FIRST FIVE MINUTES,ACCURATE,,8,,
742,1988-07-15,OTHER,17:08:00,17:15:00,33,FIRST FIVE MINUTES,ACCURATE,,5,,
742,1988-07-15,OTHER,17:08:00,17:15:00,34,TOTAL BEFORE DEPART,ACCURATE,,5,,
743,1988-07-16,BLOWFISH,14:17:00,14:23:00,35,FIRST FIVE MINUTES,ACCURATE,,3,,
743,1988-07-16,BLOWFISH,14:17:00,14:23:00,36,TOTAL BEFORE DEPART,ACCURATE,,3,,
744,1988-07-16,BLOWFISH,14:45:00,14:50:00,37,FIRST FIVE MINUTES,ACCURATE,,1,,
744,1988-07-16,BLOWFISH,14:45:00,14:50:00,38,TOTAL BEFORE DEPART,ACCURATE,,1,,
745,1988-07-16,BLOWFISH,15:08:00,17:52:00,39,FIRST FIVE MINUTES,ACCURATE,,9,,
745,1988-07-16,BLOWFISH,15:08:00,17:52:00,40,TOTAL BEFORE DEPART,ACCURATE,,9,,
748,1988-07-17,OTHER,09:45:00,09:50:00,41,FIRST FIVE MINUTES,ACCURATE,,2,,
748,1988-07-17,OTHER,09:45:00,09:50:00,42,TOTAL BEFORE DEPART,ACCURATE,,2,,
